Level,Date and Time,Source,Event ID,Task Category
Information,7/16/2018 12:44:29 PM,Microsoft-Windows-GroupPolicy,1500,None,The Group Policy settings for the computer were processed successfully. There were no changes detected since the last successful processing of Group Policy.
Information,7/16/2018 12:24:37 PM,Service Control Manager,7040,None,The start type of the Background Intelligent Transfer Service service was changed from auto start to demand start.
Error,7/16/2018 12:24:20 PM,Microsoft-Windows-Eventlog,40,None,The event logging service encountered an error when attempting to apply one or more policy settings.
Information,7/16/2018 12:24:20 PM,Microsoft-Windows-Time-Service,158,None,The time provider 'VMICTimeProvider' has indicated that the current hardware and operating environment is not supported and has stopped. This behavior is expected for VMICTimeProvider on non-HyperV-guest environments. This may be the expected behavior for the current provider in the current operating environment as well.
Information,7/16/2018 12:24:19 PM,Microsoft-Windows-GroupPolicy,1502,None,The Group Policy settings for the computer were processed successfully. New settings from 21 Group Policy objects were detected and applied.
Information,7/16/2018 12:21:06 PM,Service Control Manager,7040,None,The start type of the Background Intelligent Transfer Service service was changed from demand start to auto start.
Information,7/16/2018 12:07:23 PM,Microsoft-Windows-Ntfs,98,None,Volume Windows (\Device\HarddiskVolumeShadowCopy46) is healthy.  No action is needed.
Information,7/16/2018 12:02:26 PM,Microsoft-Windows-UserModePowerService,22,(18),Reapply power settings upon completion of the provisioning engine's turn 5
Information,7/16/2018 12:01:25 PM,Microsoft-Windows-Kernel-General,16,None,The access history in hive \??\C:\ProgramData\Microsoft\Provisioning\Microsoft-Desktop-Provisioning-Sequence.dat was cleared updating 0 keys and creating 0 modified pages.
Information,7/16/2018 12:01:24 PM,Service Control Manager,7040,None,The start type of the Windows Modules Installer service was changed from auto start to demand start.
Information,7/16/2018 12:01:22 PM,Microsoft-Windows-Kernel-General,16,None,The access history in hive \??\C:\WINDOWS\System32\SMI\Store\Machine\SCHEMA.DAT was cleared updating 1 keys and creating 1 modified pages.
Information,7/16/2018 12:01:07 PM,Microsoft-Windows-Kernel-General,16,None,The access history in hive \??\C:\WINDOWS\System32\config\COMPONENTS was cleared updating 88976 keys and creating 11080 modified pages.
Information,7/16/2018 12:00:51 PM,Service Control Manager,7040,None,The start type of the Windows Modules Installer service was changed from demand start to auto start.
Information,7/16/2018 12:00:00 PM,EventLog,6013,None,The system uptime is 1215013 seconds.
Information,7/16/2018 11:59:53 AM,EventLog,6013,None,The system uptime is 1215006 seconds.
Information,7/16/2018 11:57:14 AM,Service Control Manager,7040,None,The start type of the Background Intelligent Transfer Service service was changed from auto start to demand start.
Information,7/16/2018 11:54:38 AM,Service Control Manager,7040,None,The start type of the Background Intelligent Transfer Service service was changed from demand start to auto start.
Warning,7/16/2018 11:52:48 AM,Microsoft-Windows-DNS-Client,8019,(1028),"The system failed to register host (A or AAAA) resource records (RRs) for network adapter
with settings:

           Adapter Name : {D8E1E31A-6CDC-4DF9-A781-06398854202A}
           Host Name : 45212MLIU-7
           Primary Domain Suffix : corp.premierinc.com
           DNS server list :
             	206.71.92.6, 206.71.92.5
           Sent update to server : 10.32.2.53:53
           IP Address(es) :
             206.71.92.121

The reason the system could not register these RRs was because of a security related problem. The cause of this could be (a) your computer does not have permissions to register and update the specific DNS domain name set for this adapter, or (b) there might have been a problem negotiating valid credentials with the DNS server during the processing of the update request.

You can manually retry DNS registration of the network adapter and its settings by typing 'ipconfig /registerdns' at the command prompt. If problems still persist, contact your DNS server or network systems administrator. See event details for specific error code information."
Information,7/16/2018 11:52:44 AM,Service Control Manager,7040,None,The start type of the Background Intelligent Transfer Service service was changed from auto start to demand start.
Information,7/16/2018 11:50:08 AM,Service Control Manager,7040,None,The start type of the Background Intelligent Transfer Service service was changed from demand start to auto start.
Information,7/16/2018 11:23:28 AM,Service Control Manager,7040,None,The start type of the Background Intelligent Transfer Service service was changed from auto start to demand start.
Information,7/16/2018 11:21:08 AM,Service Control Manager,7040,None,The start type of the Background Intelligent Transfer Service service was changed from demand start to auto start.
Information,7/16/2018 11:13:34 AM,Microsoft-Windows-GroupPolicy,1500,None,The Group Policy settings for the computer were processed successfully. There were no changes detected since the last successful processing of Group Policy.
Information,7/16/2018 11:13:29 AM,Microsoft-Windows-GroupPolicy,1501,None,The Group Policy settings for the user were processed successfully. There were no changes detected since the last successful processing of Group Policy.
Warning,7/16/2018 11:03:51 AM,Microsoft-Windows-DNS-Client,1014,(1014),Name resolution for the name cre timed out after none of the configured DNS servers responded.
Warning,7/16/2018 11:00:10 AM,Microsoft-Windows-DNS-Client,8019,(1028),"The system failed to register host (A or AAAA) resource records (RRs) for network adapter
with settings:

           Adapter Name : {D8E1E31A-6CDC-4DF9-A781-06398854202A}
           Host Name : 45212MLIU-7
           Primary Domain Suffix : corp.premierinc.com
           DNS server list :
             	206.71.92.6, 206.71.92.5
           Sent update to server : 10.32.2.53:53
           IP Address(es) :
             206.71.92.121

The reason the system could not register these RRs was because of a security related problem. The cause of this could be (a) your computer does not have permissions to register and update the specific DNS domain name set for this adapter, or (b) there might have been a problem negotiating valid credentials with the DNS server during the processing of the update request.

You can manually retry DNS registration of the network adapter and its settings by typing 'ipconfig /registerdns' at the command prompt. If problems still persist, contact your DNS server or network systems administrator. See event details for specific error code information."
Information,7/16/2018 10:59:59 AM,Service Control Manager,7040,None,The start type of the Background Intelligent Transfer Service service was changed from auto start to demand start.
Information,7/16/2018 10:57:45 AM,Service Control Manager,7040,None,The start type of the Background Intelligent Transfer Service service was changed from demand start to auto start.
Information,7/16/2018 10:23:18 AM,Service Control Manager,7040,None,The start type of the Background Intelligent Transfer Service service was changed from auto start to demand start.
Information,7/16/2018 10:21:06 AM,Service Control Manager,7040,None,The start type of the Background Intelligent Transfer Service service was changed from demand start to auto start.
Warning,7/16/2018 10:07:33 AM,Microsoft-Windows-DNS-Client,8019,(1028),"The system failed to register host (A or AAAA) resource records (RRs) for network adapter
with settings:

           Adapter Name : {D8E1E31A-6CDC-4DF9-A781-06398854202A}
           Host Name : 45212MLIU-7
           Primary Domain Suffix : corp.premierinc.com
           DNS server list :
             	206.71.92.6, 206.71.92.5
           Sent update to server : 10.32.2.53:53
           IP Address(es) :
             206.71.92.121

The reason the system could not register these RRs was because of a security related problem. The cause of this could be (a) your computer does not have permissions to register and update the specific DNS domain name set for this adapter, or (b) there might have been a problem negotiating valid credentials with the DNS server during the processing of the update request.

You can manually retry DNS registration of the network adapter and its settings by typing 'ipconfig /registerdns' at the command prompt. If problems still persist, contact your DNS server or network systems administrator. See event details for specific error code information."
Information,7/16/2018 9:42:27 AM,Microsoft-Windows-GroupPolicy,1500,None,The Group Policy settings for the computer were processed successfully. There were no changes detected since the last successful processing of Group Policy.
Information,7/16/2018 9:39:48 AM,Microsoft-Windows-Time-Service,158,None,The time provider 'VMICTimeProvider' has indicated that the current hardware and operating environment is not supported and has stopped. This behavior is expected for VMICTimeProvider on non-HyperV-guest environments. This may be the expected behavior for the current provider in the current operating environment as well.
Error,7/16/2018 9:39:48 AM,Microsoft-Windows-Eventlog,40,None,The event logging service encountered an error when attempting to apply one or more policy settings.
Information,7/16/2018 9:39:48 AM,Microsoft-Windows-GroupPolicy,1502,None,The Group Policy settings for the computer were processed successfully. New settings from 21 Group Policy objects were detected and applied.
Information,7/16/2018 9:34:22 AM,Service Control Manager,7040,None,The start type of the Background Intelligent Transfer Service service was changed from auto start to demand start.
Information,7/16/2018 9:32:40 AM,Microsoft-Windows-WindowsUpdateClient,19,Windows Update Agent,Installation Successful: Windows successfully installed the following update: 9WZDNCRFJBMP-MICROSOFT.WINDOWSSTORE
Information,7/16/2018 9:31:55 AM,Service Control Manager,7040,None,The start type of the Background Intelligent Transfer Service service was changed from demand start to auto start.
Information,7/16/2018 9:31:43 AM,Microsoft-Windows-WindowsUpdateClient,43,Windows Update Agent,Installation Started: Windows has started installing the following update: 9WZDNCRFJBMP-MICROSOFT.WINDOWSSTORE
Information,7/16/2018 9:31:34 AM,Microsoft-Windows-Kernel-General,16,None,The access history in hive \??\C:\ProgramData\Microsoft\Windows\AppRepository\Packages\Microsoft.WindowsStore_11806.1001.21.0_x64__8wekyb3d8bbwe\ActivationStore.dat was cleared updating 0 keys and creating 0 modified pages.
Information,7/16/2018 9:28:41 AM,Microsoft-Windows-WindowsUpdateClient,44,Windows Update Agent,Windows Update started downloading an update.
Information,7/16/2018 9:27:11 AM,Service Control Manager,7040,None,The start type of the Background Intelligent Transfer Service service was changed from auto start to demand start.
Information,7/16/2018 9:24:42 AM,Service Control Manager,7040,None,The start type of the Background Intelligent Transfer Service service was changed from demand start to auto start.
Information,7/16/2018 9:23:56 AM,Service Control Manager,7040,None,The start type of the Background Intelligent Transfer Service service was changed from auto start to demand start.
Warning,7/16/2018 9:19:03 AM,Microsoft-Windows-DNS-Client,1014,(1014),Name resolution for the name jdpcywfnptfq timed out after none of the configured DNS servers responded.
Information,7/16/2018 9:18:43 AM,Microsoft-Windows-Ntfs,98,None,Volume Windows (\Device\HarddiskVolumeShadowCopy45) is healthy.  No action is needed.
Information,7/16/2018 9:18:30 AM,Service Control Manager,7040,None,The start type of the Background Intelligent Transfer Service service was changed from demand start to auto start.
Information,7/16/2018 9:17:45 AM,Service Control Manager,7040,None,The start type of the Background Intelligent Transfer Service service was changed from auto start to demand start.
Information,7/16/2018 9:15:59 AM,Microsoft-Windows-Kernel-General,16,None,The access history in hive \??\C:\Users\mliu\AppData\Local\Packages\Microsoft.Windows.ShellExperienceHost_cw5n1h2txyewy\Settings\settings.dat was cleared updating 4 keys and creating 1 modified pages.
Information,7/16/2018 9:15:58 AM,Microsoft-Windows-Kernel-General,16,None,The access history in hive \??\C:\Users\mliu\AppData\Local\Packages\Microsoft.Windows.Cortana_cw5n1h2txyewy\Settings\settings.dat was cleared updating 33 keys and creating 7 modified pages.
Information,7/16/2018 9:15:25 AM,Microsoft-Windows-Kernel-General,15,None,Hive \??\C:\Users\mliu\AppData\Local\Microsoft\Windows\UsrClass.dat was reorganized with a starting size of 6000640 bytes and an ending size of 5959680 bytes.
Information,7/16/2018 9:15:24 AM,Microsoft-Windows-Winlogon,7001,(1101),User Logon Notification for Customer Experience Improvement Program
Information,7/16/2018 9:15:17 AM,Microsoft-Windows-Kernel-General,16,None,The access history in hive \??\C:\Users\mliu\ntuser.dat was cleared updating 5654 keys and creating 666 modified pages.
Information,7/16/2018 9:15:02 AM,Microsoft-Windows-Time-Service,37,None,The time provider NtpClient is currently receiving valid time data from C11PICORPDC1.corp.premierinc.com (ntp.d|0.0.0.0:123->10.10.240.117:123).
Warning,7/16/2018 9:15:00 AM,Microsoft-Windows-DNS-Client,8019,(1028),"The system failed to register host (A or AAAA) resource records (RRs) for network adapter
with settings:

           Adapter Name : {D8E1E31A-6CDC-4DF9-A781-06398854202A}
           Host Name : 45212MLIU-7
           Primary Domain Suffix : corp.premierinc.com
           DNS server list :
             	206.71.92.6, 206.71.92.5
           Sent update to server : 10.32.2.53:53
           IP Address(es) :
             206.71.92.121

The reason the system could not register these RRs was because of a security related problem. The cause of this could be (a) your computer does not have permissions to register and update the specific DNS domain name set for this adapter, or (b) there might have been a problem negotiating valid credentials with the DNS server during the processing of the update request.

You can manually retry DNS registration of the network adapter and its settings by typing 'ipconfig /registerdns' at the command prompt. If problems still persist, contact your DNS server or network systems administrator. See event details for specific error code information."
Error,7/16/2018 9:14:59 AM,NETLOGON,5719,None,"This computer was not able to set up a secure session with a domain controller in domain CORP due to the following: 
We can't sign you in with this credential because your domain isn't available. Make sure your device is connected to your organization's network and try again. If you previously signed in on this device with another credential, you can sign in with that credential. 
This may lead to authentication problems. Make sure that this computer is connected to the network. If the problem persists, please contact your domain administrator.  

ADDITIONAL INFO 
If this computer is a domain controller for the specified domain, it sets up the secure session to the primary domain controller emulator in the specified domain. Otherwise, this computer sets up the secure session to any domain controller in the specified domain."
Warning,7/16/2018 9:14:59 AM,Microsoft-Windows-Time-Service,129,None,NtpClient was unable to set a domain peer to use as a time source because of discovery error. NtpClient will try again in 15 minutes and double the reattempt interval thereafter. The error was: The entry is not found. (0x800706E1)
Warning,7/16/2018 9:14:59 AM,Microsoft-Windows-Time-Service,129,None,NtpClient was unable to set a domain peer to use as a time source because of discovery error. NtpClient will try again in 15 minutes and double the reattempt interval thereafter. The error was: The entry is not found. (0x800706E1)
Warning,7/16/2018 9:14:59 AM,Microsoft-Windows-Time-Service,129,None,NtpClient was unable to set a domain peer to use as a time source because of discovery error. NtpClient will try again in 15 minutes and double the reattempt interval thereafter. The error was: The entry is not found. (0x800706E1)
Information,7/16/2018 9:14:58 AM,Service Control Manager,7040,None,The start type of the Background Intelligent Transfer Service service was changed from demand start to auto start.
Information,7/16/2018 9:14:57 AM,Microsoft-Windows-Power-Troubleshooter,1,None,"The system has returned from a low power state.

Sleep Time: ‎2018‎-‎07‎-‎12T23:14:26.689204500Z
Wake Time: ‎2018‎-‎07‎-‎16T15:14:52.961145700Z

Wake Source: Unknown"
Information,7/16/2018 9:14:55 AM,e1iexpress,32,None,"Intel(R) 82579LM Gigabit Network Connection
 Network link has been established at 1Gbps full duplex.
"
Information,7/16/2018 9:14:55 AM,Microsoft-Windows-Kernel-General,16,None,The access history in hive \Device\HarddiskVolume1\Boot\BCD was cleared updating 49 keys and creating 7 modified pages.
Information,7/16/2018 9:14:52 AM,Microsoft-Windows-Kernel-Boot,32,None,The bootmgr spent 0 ms waiting for user input.
Information,7/16/2018 9:14:52 AM,Microsoft-Windows-Kernel-Boot,18,None,There are 0x1 boot options on this system.
Information,7/16/2018 9:14:52 AM,Microsoft-Windows-Kernel-Boot,27,(33),The boot type was 0x1.
Information,7/16/2018 9:14:52 AM,Microsoft-Windows-Kernel-Boot,25,(32),The boot menu policy was 0x1.
Information,7/16/2018 9:14:52 AM,Microsoft-Windows-Kernel-Boot,30,(21),The firmware reported boot metrics.
Information,7/16/2018 9:14:52 AM,MEIx64,2,None,Intel(R) Management Engine Interface driver has started successfully.
Warning,7/16/2018 9:14:52 AM,e1iexpress,27,None,"Intel(R) 82579LM Gigabit Network Connection
 Network link is disconnected.
"
Information,7/16/2018 9:14:51 AM,Microsoft-Windows-Kernel-Power,105,(100),Power source change.
Information,7/16/2018 9:14:51 AM,Microsoft-Windows-Kernel-General,1,(5),"The system time has changed to ‎2018‎-‎07‎-‎16T15:14:51.500000000Z from ‎2018‎-‎07‎-‎12T23:15:50.083107500Z.

Change Reason: System time synchronized with the hardware clock."
Information,7/12/2018 5:15:50 PM,Microsoft-Windows-Kernel-Power,107,(102),The system has resumed from sleep.
Information,7/16/2018 9:14:51 AM,EventLog,6013,None,The system uptime is 1205104 seconds.
Information,7/12/2018 5:15:49 PM,BROWSER,8033,None,The browser has forced an election on network \Device\NetBT_Tcpip_{16292CE8-F4C8-4D5F-AC01-46C988FCFA75} because a master browser was stopped.
Information,7/12/2018 5:15:49 PM,BROWSER,8033,None,The browser has forced an election on network \Device\NetBT_Tcpip_{CFAF5E97-E3D1-4F0F-B282-9B1C710A19FF} because a master browser was stopped.
Information,7/12/2018 5:15:43 PM,Microsoft-Windows-Kernel-Power,42,(64),"The system is entering sleep.

Sleep Reason: Application API"
Information,7/12/2018 5:14:28 PM,Microsoft-Windows-Kernel-Power,105,(100),Power source change.
Warning,7/12/2018 5:14:28 PM,e1iexpress,27,None,"Intel(R) 82579LM Gigabit Network Connection
 Network link is disconnected.
"
Information,7/12/2018 5:14:26 PM,Microsoft-Windows-Kernel-General,1,(5),"The system time has changed to ‎2018‎-‎07‎-‎12T23:14:26.798000000Z from ‎2018‎-‎07‎-‎12T23:14:26.799705600Z.

Change Reason: An application or system component changed the time."
Information,7/12/2018 5:14:26 PM,Microsoft-Windows-Winlogon,7002,(1102),User Logoff Notification for Customer Experience Improvement Program
Warning,7/12/2018 5:14:22 PM,Microsoft-Windows-DNS-Client,8019,(1028),"The system failed to register host (A or AAAA) resource records (RRs) for network adapter
with settings:

           Adapter Name : {D8E1E31A-6CDC-4DF9-A781-06398854202A}
           Host Name : 45212MLIU-7
           Primary Domain Suffix : corp.premierinc.com
           DNS server list :
             	206.71.92.6, 206.71.92.5
           Sent update to server : 10.32.2.53:53
           IP Address(es) :
             206.71.92.121

The reason the system could not register these RRs was because of a security related problem. The cause of this could be (a) your computer does not have permissions to register and update the specific DNS domain name set for this adapter, or (b) there might have been a problem negotiating valid credentials with the DNS server during the processing of the update request.

You can manually retry DNS registration of the network adapter and its settings by typing 'ipconfig /registerdns' at the command prompt. If problems still persist, contact your DNS server or network systems administrator. See event details for specific error code information."
Warning,7/12/2018 5:13:47 PM,Microsoft-Windows-DNS-Client,8019,(1028),"The system failed to register host (A or AAAA) resource records (RRs) for network adapter
with settings:

           Adapter Name : {D8E1E31A-6CDC-4DF9-A781-06398854202A}
           Host Name : 45212MLIU-7
           Primary Domain Suffix : corp.premierinc.com
           DNS server list :
             	206.71.92.6, 206.71.92.5
           Sent update to server : 10.32.2.53:53
           IP Address(es) :
             206.71.92.121

The reason the system could not register these RRs was because of a security related problem. The cause of this could be (a) your computer does not have permissions to register and update the specific DNS domain name set for this adapter, or (b) there might have been a problem negotiating valid credentials with the DNS server during the processing of the update request.

You can manually retry DNS registration of the network adapter and its settings by typing 'ipconfig /registerdns' at the command prompt. If problems still persist, contact your DNS server or network systems administrator. See event details for specific error code information."
Warning,7/12/2018 4:21:12 PM,Microsoft-Windows-DNS-Client,8019,(1028),"The system failed to register host (A or AAAA) resource records (RRs) for network adapter
with settings:

           Adapter Name : {D8E1E31A-6CDC-4DF9-A781-06398854202A}
           Host Name : 45212MLIU-7
           Primary Domain Suffix : corp.premierinc.com
           DNS server list :
             	206.71.92.6, 206.71.92.5
           Sent update to server : 10.32.2.53:53
           IP Address(es) :
             206.71.92.121

The reason the system could not register these RRs was because of a security related problem. The cause of this could be (a) your computer does not have permissions to register and update the specific DNS domain name set for this adapter, or (b) there might have been a problem negotiating valid credentials with the DNS server during the processing of the update request.

You can manually retry DNS registration of the network adapter and its settings by typing 'ipconfig /registerdns' at the command prompt. If problems still persist, contact your DNS server or network systems administrator. See event details for specific error code information."
Information,7/12/2018 4:20:49 PM,Service Control Manager,7040,None,The start type of the Background Intelligent Transfer Service service was changed from auto start to demand start.
Information,7/12/2018 4:18:30 PM,Service Control Manager,7040,None,The start type of the Background Intelligent Transfer Service service was changed from demand start to auto start.
Information,7/12/2018 4:13:29 PM,Microsoft-Windows-GroupPolicy,1500,None,The Group Policy settings for the computer were processed successfully. There were no changes detected since the last successful processing of Group Policy.
Information,7/12/2018 4:04:36 PM,Microsoft-Windows-Ntfs,98,None,Volume Windows (\Device\HarddiskVolumeShadowCopy44) is healthy.  No action is needed.
Information,7/12/2018 3:44:11 PM,Microsoft-Windows-GroupPolicy,1501,None,The Group Policy settings for the user were processed successfully. There were no changes detected since the last successful processing of Group Policy.
Warning,7/12/2018 3:28:36 PM,Microsoft-Windows-DNS-Client,8019,(1028),"The system failed to register host (A or AAAA) resource records (RRs) for network adapter
with settings:

           Adapter Name : {D8E1E31A-6CDC-4DF9-A781-06398854202A}
           Host Name : 45212MLIU-7
           Primary Domain Suffix : corp.premierinc.com
           DNS server list :
             	206.71.92.6, 206.71.92.5
           Sent update to server : 10.32.2.53:53
           IP Address(es) :
             206.71.92.121

The reason the system could not register these RRs was because of a security related problem. The cause of this could be (a) your computer does not have permissions to register and update the specific DNS domain name set for this adapter, or (b) there might have been a problem negotiating valid credentials with the DNS server during the processing of the update request.

You can manually retry DNS registration of the network adapter and its settings by typing 'ipconfig /registerdns' at the command prompt. If problems still persist, contact your DNS server or network systems administrator. See event details for specific error code information."
Information,7/12/2018 3:20:53 PM,Service Control Manager,7040,None,The start type of the Background Intelligent Transfer Service service was changed from auto start to demand start.
Information,7/12/2018 3:20:17 PM,Microsoft-Windows-Time-Service,158,None,The time provider 'VMICTimeProvider' has indicated that the current hardware and operating environment is not supported and has stopped. This behavior is expected for VMICTimeProvider on non-HyperV-guest environments. This may be the expected behavior for the current provider in the current operating environment as well.
Error,7/12/2018 3:20:17 PM,Microsoft-Windows-Eventlog,40,None,The event logging service encountered an error when attempting to apply one or more policy settings.
Information,7/12/2018 3:20:16 PM,Microsoft-Windows-GroupPolicy,1502,None,The Group Policy settings for the computer were processed successfully. New settings from 21 Group Policy objects were detected and applied.
Information,7/12/2018 3:18:28 PM,Service Control Manager,7040,None,The start type of the Background Intelligent Transfer Service service was changed from demand start to auto start.
Information,7/12/2018 2:42:29 PM,Microsoft-Windows-GroupPolicy,1500,None,The Group Policy settings for the computer were processed successfully. There were no changes detected since the last successful processing of Group Policy.
Information,7/12/2018 2:42:18 PM,Service Control Manager,7040,None,The start type of the Background Intelligent Transfer Service service was changed from auto start to demand start.
Information,7/12/2018 2:40:14 PM,Service Control Manager,7040,None,The start type of the Background Intelligent Transfer Service service was changed from demand start to auto start.
Warning,7/12/2018 2:35:59 PM,Microsoft-Windows-DNS-Client,8019,(1028),"The system failed to register host (A or AAAA) resource records (RRs) for network adapter
with settings:

           Adapter Name : {D8E1E31A-6CDC-4DF9-A781-06398854202A}
           Host Name : 45212MLIU-7
           Primary Domain Suffix : corp.premierinc.com
           DNS server list :
             	206.71.92.6, 206.71.92.5
           Sent update to server : 10.32.2.53:53
           IP Address(es) :
             206.71.92.121

The reason the system could not register these RRs was because of a security related problem. The cause of this could be (a) your computer does not have permissions to register and update the specific DNS domain name set for this adapter, or (b) there might have been a problem negotiating valid credentials with the DNS server during the processing of the update request.

You can manually retry DNS registration of the network adapter and its settings by typing 'ipconfig /registerdns' at the command prompt. If problems still persist, contact your DNS server or network systems administrator. See event details for specific error code information."
Information,7/12/2018 2:23:02 PM,Service Control Manager,7040,None,The start type of the Background Intelligent Transfer Service service was changed from auto start to demand start.
Information,7/12/2018 2:20:50 PM,Service Control Manager,7040,None,The start type of the Background Intelligent Transfer Service service was changed from demand start to auto start.
Information,7/12/2018 2:20:45 PM,Service Control Manager,7040,None,The start type of the Background Intelligent Transfer Service service was changed from auto start to demand start.
Information,7/12/2018 2:18:24 PM,Service Control Manager,7040,None,The start type of the Background Intelligent Transfer Service service was changed from demand start to auto start.
Information,7/12/2018 1:54:12 PM,Microsoft-Windows-GroupPolicy,1501,None,The Group Policy settings for the user were processed successfully. There were no changes detected since the last successful processing of Group Policy.
Warning,7/12/2018 1:43:24 PM,Microsoft-Windows-DNS-Client,8019,(1028),"The system failed to register host (A or AAAA) resource records (RRs) for network adapter
with settings:

           Adapter Name : {D8E1E31A-6CDC-4DF9-A781-06398854202A}
           Host Name : 45212MLIU-7
           Primary Domain Suffix : corp.premierinc.com
           DNS server list :
             	206.71.92.6, 206.71.92.5
           Sent update to server : 10.32.2.53:53
           IP Address(es) :
             206.71.92.121

The reason the system could not register these RRs was because of a security related problem. The cause of this could be (a) your computer does not have permissions to register and update the specific DNS domain name set for this adapter, or (b) there might have been a problem negotiating valid credentials with the DNS server during the processing of the update request.

You can manually retry DNS registration of the network adapter and its settings by typing 'ipconfig /registerdns' at the command prompt. If problems still persist, contact your DNS server or network systems administrator. See event details for specific error code information."
Information,7/12/2018 1:20:35 PM,Service Control Manager,7040,None,The start type of the Background Intelligent Transfer Service service was changed from auto start to demand start.
Information,7/12/2018 1:18:22 PM,Service Control Manager,7040,None,The start type of the Background Intelligent Transfer Service service was changed from demand start to auto start.
Information,7/12/2018 1:11:29 PM,Microsoft-Windows-GroupPolicy,1500,None,The Group Policy settings for the computer were processed successfully. There were no changes detected since the last successful processing of Group Policy.
Warning,7/12/2018 12:50:46 PM,Microsoft-Windows-DNS-Client,8019,(1028),"The system failed to register host (A or AAAA) resource records (RRs) for network adapter
with settings:

           Adapter Name : {D8E1E31A-6CDC-4DF9-A781-06398854202A}
           Host Name : 45212MLIU-7
           Primary Domain Suffix : corp.premierinc.com
           DNS server list :
             	206.71.92.6, 206.71.92.5
           Sent update to server : 10.32.2.53:53
           IP Address(es) :
             206.71.92.121

The reason the system could not register these RRs was because of a security related problem. The cause of this could be (a) your computer does not have permissions to register and update the specific DNS domain name set for this adapter, or (b) there might have been a problem negotiating valid credentials with the DNS server during the processing of the update request.

You can manually retry DNS registration of the network adapter and its settings by typing 'ipconfig /registerdns' at the command prompt. If problems still persist, contact your DNS server or network systems administrator. See event details for specific error code information."
Information,7/12/2018 12:46:16 PM,Microsoft-Windows-Ntfs,98,None,Volume Windows (\Device\HarddiskVolumeShadowCopy43) is healthy.  No action is needed.
Information,7/12/2018 12:43:26 PM,Microsoft-Windows-UserModePowerService,22,(18),Reapply power settings upon completion of the provisioning engine's turn 5
Information,7/12/2018 12:42:36 PM,Microsoft-Windows-Kernel-General,16,None,The access history in hive \??\C:\ProgramData\Microsoft\Provisioning\Microsoft-Desktop-Provisioning-Sequence.dat was cleared updating 0 keys and creating 0 modified pages.
Information,7/12/2018 12:42:04 PM,Microsoft-Windows-Kernel-General,16,None,The access history in hive \??\C:\Users\mliu\AppData\Local\Packages\Microsoft.Windows.Photos_8wekyb3d8bbwe\Settings\settings.dat was cleared updating 29 keys and creating 8 modified pages.
Information,7/12/2018 12:20:39 PM,Service Control Manager,7040,None,The start type of the Background Intelligent Transfer Service service was changed from auto start to demand start.
Information,7/12/2018 12:18:23 PM,Service Control Manager,7040,None,The start type of the Background Intelligent Transfer Service service was changed from demand start to auto start.
Information,7/12/2018 12:04:09 PM,Microsoft-Windows-GroupPolicy,1501,None,The Group Policy settings for the user were processed successfully. There were no changes detected since the last successful processing of Group Policy.
Information,7/12/2018 12:03:31 PM,Microsoft-Windows-Kernel-General,16,None,The access history in hive \Device\HarddiskVolume2\WINDOWS\System32\config\ELAM was cleared updating 2 keys and creating 2 modified pages.
Information,7/12/2018 12:00:00 PM,EventLog,6013,None,The system uptime is 869413 seconds.
Information,7/12/2018 11:59:59 AM,EventLog,6013,None,The system uptime is 869412 seconds.
Warning,7/12/2018 11:58:08 AM,Microsoft-Windows-DNS-Client,8019,(1028),"The system failed to register host (A or AAAA) resource records (RRs) for network adapter
with settings:

           Adapter Name : {D8E1E31A-6CDC-4DF9-A781-06398854202A}
           Host Name : 45212MLIU-7
           Primary Domain Suffix : corp.premierinc.com
           DNS server list :
             	206.71.92.6, 206.71.92.5
           Sent update to server : 10.32.2.53:53
           IP Address(es) :
             206.71.92.121

The reason the system could not register these RRs was because of a security related problem. The cause of this could be (a) your computer does not have permissions to register and update the specific DNS domain name set for this adapter, or (b) there might have been a problem negotiating valid credentials with the DNS server during the processing of the update request.

You can manually retry DNS registration of the network adapter and its settings by typing 'ipconfig /registerdns' at the command prompt. If problems still persist, contact your DNS server or network systems administrator. See event details for specific error code information."
Information,7/12/2018 11:40:29 AM,Microsoft-Windows-GroupPolicy,1500,None,The Group Policy settings for the computer were processed successfully. There were no changes detected since the last successful processing of Group Policy.
Information,7/12/2018 11:20:36 AM,Service Control Manager,7040,None,The start type of the Background Intelligent Transfer Service service was changed from auto start to demand start.
Information,7/12/2018 11:18:20 AM,Service Control Manager,7040,None,The start type of the Background Intelligent Transfer Service service was changed from demand start to auto start.
Warning,7/12/2018 11:05:33 AM,Microsoft-Windows-DNS-Client,8019,(1028),"The system failed to register host (A or AAAA) resource records (RRs) for network adapter
with settings:

           Adapter Name : {D8E1E31A-6CDC-4DF9-A781-06398854202A}
           Host Name : 45212MLIU-7
           Primary Domain Suffix : corp.premierinc.com
           DNS server list :
             	206.71.92.6, 206.71.92.5
           Sent update to server : 10.32.2.53:53
           IP Address(es) :
             206.71.92.121

The reason the system could not register these RRs was because of a security related problem. The cause of this could be (a) your computer does not have permissions to register and update the specific DNS domain name set for this adapter, or (b) there might have been a problem negotiating valid credentials with the DNS server during the processing of the update request.

You can manually retry DNS registration of the network adapter and its settings by typing 'ipconfig /registerdns' at the command prompt. If problems still persist, contact your DNS server or network systems administrator. See event details for specific error code information."
